1	547
2	522
3	490
4	530
5	507
6	485
7	477
8	552
9	479
10	517
11	498
12	506
13	495
14	471
15	526
16	505
17	495
18	502
19	450
20	520
21	457
22	533
23	504
24	498
25	510
26	503
27	464
28	490
29	519
30	486
31	459
32	521
33	507
34	524
35	471
36	512
37	484
38	521
39	526
40	491
41	476
42	476
43	514
44	530
45	519
46	493
47	482
48	538
49	503
50	461
51	513
52	488
53	512
54	471
55	497
56	465
57	533
58	520
59	492
60	498
61	495
62	530
63	500
64	494
65	508
66	499
67	529
68	506
69	527
70	491
71	489
72	522
73	488
74	504
75	521
76	488
77	488
78	486
79	496
80	495
81	527
82	516
83	490
84	487
85	489
86	515
87	469
88	505
89	506
90	484
91	518
92	495
93	471
94	478
95	490
96	506
97	471
98	479
99	491
100	522
